Тема,Описание,Тип оборудования,Точка отказа,Серийный номер
Хрипят динамики,На ноутбуке Сила HK1-1425 (C112040111) хрипит правый динамик на высокой громкости.,Ноутбук,Динамики,C112040111
BIOS не видит диск,"Ноутбук НК2-1404 (C222091501) при включении сообщает ""No bootable device"". В BIOS загрузочный диск отсутствует.",Ноутбук,Диск,C222091501
Сломан разъем Jack,"Физически поврежден аудио-разъем на ноутбуке НК2-3404, серийник C223091050.",Ноутбук,Jack,C223091050
Камера показывает черное изображение,"Здравствуйте. Веб-камера на ноутбуке НК2-1404 v2 (C223100388) включается, индикатор горит, но изображение черное.",Ноутбук,Камера,C223100388
Не работает часть клавиатуры,"На ноутбуке HK1-1427 (C111120150) перестали работать клавиши в правом ряду (U, J, M).",Ноутбук,Клавиатура,C111120150
Консультация по настройке RAID,Добрый день. Нужна помощь в настройке RAID 10 на сервере СР2-6412 (D253010222). Возникают сложности на этапе инициализации.,Сервер,Консультация,D253010222
Сломаны петли корпуса,У ноутбука Сила НК2-3404 (C223094433) сломаны обе петли крышки. Открывать и закрывать невозможно.,Ноутбук,Корпус,C223094433
Ноутбук циклически перезагружается // C112040099,"Ноутбук HK1-1425, S/N C112040099, включается и сразу уходит в перезагрузку, не доходя до загрузки ОС.",Ноутбук,Материнская плата,C112040099
Битые пиксели на матрице,На экране нового ноутбука НК2-1404 (C223014228) обнаружено несколько битых пикселей. Прошу рассмотреть возможность гарантийной замены матрицы.,Ноутбук,Матрица,C223014228
Ноутбук не видит оперативную память,После добавления второй планки оперативной памяти ноутбук HK1-1427 (C111120108) перестал включаться. Со старой планкой работает.,Ноутбук,Оперативная память,C111120108
Ошибка активации Windows,"Не удается активировать предустановленную Windows на ноутбуке НК2-3404 (C223090755). Система пишет, что ключ не подходит.",Ноутбук,Программное обеспечение,C223090755
Неисправность СХД // D261033240,Система хранения данных СХД-48 не определяется в сети. Индикация на передней панели в норме. Требуется выезд инженера.,СХД,Материнская плата,D261033240
Нет сигнала на SFP порту,Сервер СР1-5811 (D262050015) - нет сигнала на SFP порту №2.,Сервер,SFP модуль,D262050015
Отваливается Wi-Fi,Добрый день. На ноутбуке НК2-1404 v2 (C223100318) постоянно отключается Wi-Fi. Помогает только перезагрузка. Драйверы обновлял.,Ноутбук,Wi-fi модуль,C223100318
АКБ не заряжается больше 50%,Аккумулятор на ноутбуке НК2-3404 (C223091199) заряжается только до 50% и дальше заряд не идет. Калибровку делал.,Ноутбук,Аккумулятор,C223091199
Не работает блок питания // C223010150,Перестал работать блок питания от ноутбука Сила HK2-1404. Серийный номер ноутбука C223010150.,Ноутбук,Блок питания,C223010150
Сервер СР2-5422 // Перегрев // D252110123,Сервер выключается под нагрузкой. В логах BMC сообщения о перегреве процессора CPU1. Система охлаждения визуально чистая.,Сервер,Вентилятор,D252110123
Не работают динамики,"На ноутбуке НК2-1404 (C223012999) пропал звук. Динамики не работают, в наушниках звук есть.",Ноутбук,Динамики,C223012999
dd504.region..ru - Disk 2.1,Прошу открыть заявку на замену диска. dd504.region..ru - Disk 2.1 Serial number: D261033288 Model number: СХД-48,СХД,Диск,D261033288
Микрофон не работает,При подключении гарнитуры в комбинированный jack-разъем на ноутбуке HK1-1427 (C111120188) не работает микрофон. Наушники работают.,Ноутбук,Jack,C111120188
Искаженное изображение с камеры,Веб-камера на ноутбуке НК2-3404 (C223091144) показывает изображение с сильными цветовыми искажениями.,Ноутбук,Камера,C223091144
Не работает подсветка клавиатуры,Добрый день. На ноутбуке HK2-1404 (C223014188) перестала включаться подсветка клавиатуры. Сочетание клавиш Fn не помогает.,Ноутбук,Клавиатура,C223014188
Вопрос по драйверам для Linux,Планируем установку Astra Linux на ноутбуки НК2-1404 v2. Есть ли официальные пакеты драйверов под эту ОС? SN одного из ноутбуков - C223100433.,Ноутбук,Консультация,C223100433
Трещина на корпусе,Обнаружена трещина на верхней крышке ноутбука НК2-3404 (C223090733) в районе петли.,Ноутбук,Корпус,C223090733
Не работают USB порты,На ноутбуке HK1-1425 (C112040055) перестали работать все USB порты с левой стороны. Справа порт работает.,Ноутбук,Материнская плата,C112040055
Вертикальная полоса на экране,Здравствуйте. На экране ноутбука НК2-3404 (C223091008) появилась тонкая вертикальная синяя полоса.,Ноутбук,Матрица,C223091008
Сервер не стартует после добавления ОЗУ,Добрый день. Сервер СР2-5422 (D252110044) не стартует после установки дополнительных модулей памяти. Подает звуковой сигнал об ошибке памяти.,Сервер,Оперативная память,D252110044
Зависает при загрузке,Ноутбук Сила НК2-1404 (C222091600) зависает на логотипе производителя при включении. В BIOS зайти не удается.,Ноутбук,Программное обеспечение,C222091600
Сервер не включается D252030030,"Сервер СР2-5422 s/n D252030030 не реагирует на кнопку включения. Блоки питания проверены, исправны.",Сервер,Сервер,D252030030
Замена SFP модуля // D262050018,Требуется замена неисправного SFP модуля на сервере СР1-5811. Нет линка.,Сервер,SFP модуль,D262050018
Проблемы с Wi-Fi антенной,"Очень низкая скорость и нестабильный сигнал Wi-Fi на ноутбуке НК2-1404 (C223012888). Предположительно, повреждена антенна.",Ноутбук,Wi-fi антенна,C223012888
Wi-Fi адаптер не найден,Ноутбук HK1-1427 (C111120199) не видит Wi-Fi сетей. В диспетчере устройств сетевой адаптер Wi-Fi с ошибкой (Код 10).,Ноутбук,Wi-fi модуль,C111120199
Быстро разряжается аккумулятор,"Новый ноутбук НК2-3404 (C223090811) работает от аккумулятора не более часа, хотя заявлено до 5 часов.",Ноутбук,Аккумулятор,C223090811
Сгорел блок питания,"Блок питания от ноутбука HK2-1404 (C223014199) сгорел, был слышен хлопок и пошел дым.",Ноутбук,Блок питания,C223014199
Вентилятор работает на максимальных оборотах,"Даже без нагрузки вентилятор на ноутбуке НК2-1404 v2 (C223102222) постоянно работает на максимальных оборотах. BIOS обновлял, не помогло.",Ноутбук,Вентилятор,C223102222
Звук только в одном динамике,На ноутбуке Сила HK1-1425 (C112040122) звук воспроизводится только через левый динамик. Баланс в настройках проверял.,Ноутбук,Динамики,C112040122
СХД не видит новый диск,"Добрый день. Установили новый диск в СХД-24 (D261044111), но система его не видит в массиве. Диск той же модели.",СХД,Диск,D261044111
Проблема с аудио-разъемом,"В разъеме для наушников ноутбука НК2-3404 (C223091177) плохой контакт, звук постоянно пропадает.",Ноутбук,Jack,C223091177
Камера не работает // C223100401,"Ноутбук Сила НК2-1404 v2 SN: C223100401, не работает камера.",Ноутбук,Камера,C223100401
Не работает тачпад,На ноутбуке НК2-1404 (C223012955) перестал работать тачпад. USB-мышь работает. Включение через Fn не помогает.,Ноутбук,Клавиатура,C223012955
Консультация СХД,Нужна консультация по расширению дискового пространства на СХД-48 (D261033255).,СХД,Консультация,D261033255
Отломана часть корпуса,У ноутбука HK1-1427 (C111120133) отломан кусок корпуса в углу.,Ноутбук,Корпус,C111120133
Перезагрузка ноутбука при подключении USB,Ноутбук HK1-1425 (C112040088) перезагружается при подключении любого устройства в правый USB-порт.,Ноутбук,Материнская плата,C112040088
Засветы на экране,На темном фоне по краям экрана ноутбука НК2-1404 (C223014250) видны сильные засветы.,Ноутбук,Матрица,C223014250
Ошибка оперативной памяти на сервере,Сервер СР2-6412 (D253010233) выдает ошибку памяти при загрузке. Прошу провести диагностику и замену.,Сервер,Оперативная память,D253010233
Не загружается ОС,"Операционная система не загружается на ноутбуке НК2-3404 (C223090833), появляется черный экран с курсором.",Ноутбук,Программное обеспечение,C223090833
Проблема с сервером D252030050,"Добрый день. Сервер СР2-5422 (D252030050) не отвечает по сети, нет доступа к BMC. Требуется выезд специалиста.",Сервер,Сервер,D252030050
Не работает SFP модуль,На сервере СР2-5422 (D252110056) вышел из строя SFP модуль.,Сервер,SFP модуль,D252110056
Плохой прием Wi-Fi,"Ноутбук НК2-1404 v2 (C223102144) плохо ловит сеть Wi-Fi, сигнал постоянно обрывается.",Ноутбук,Wi-fi антенна,C223102144
Отключается Wi-Fi модуль,На ноутбуке НК2-3404 (C223091288) периодически сам по себе отключается Wi-Fi модуль. В диспетчере устройств он пропадает.,Ноутбук,Wi-fi модуль,C223091288
Замена АКБ C223098822,"Прошу заменить аккумулятор на ноутбуке Сила НК2-3404, SN C223098822. Время автономной работы менее 30 минут.",Ноутбук,Аккумулятор,C223098822
Проблема с блоком питания D252110988,Один из двух блоков питания на сервере СР2-5422 (D252110988) вышел из строя. Горит красный индикатор.,Сервер,Блок питания,D252110988
Шум от вентилятора в СХД,Добрый день. В СХД-24 (D261044123) один из вентиляторов охлаждения начал сильно шуметь.,СХД,Вентилятор,D261044123
Не работает левый динамик,На ноутбуке НК2-1404 (C223013111) не работает левый динамик.,Ноутбук,Динамики,C223013111
Сервер не видит диск,"Сервер СР1-5811 (D262050020) не видит один из дисков в корзине. Диск исправен, проверяли в другом сервере.",Сервер,Материнская плата,D262050020
Проблема с разъемом для гарнитуры,При подключении гарнитуры к ноутбуку НК2-3404 (C223091344) звук продолжает идти через динамики.,Ноутбук,Jack,C223091344
Размытое изображение с камеры,"Веб-камера на ноутбуке HK1-1425 (C112040130) показывает очень размытое изображение, фокус не настраивается.",Ноутбук,Камера,C112040130
"Клавиша ""Пробел"" не срабатывает","На ноутбуке НК2-1404 v2 (C223100455) плохо срабатывает клавиша ""Пробел"". Нужно нажимать строго по центру.",Ноутбук,Клавиатура,C223100455
Вопрос по прошивке BMC,Здравствуйте. Какая последняя актуальная версия прошивки BMC для сервера СР2-5422 (D252110077)?,Сервер,Консультация,D252110077
Люфт крышки ноутбука,Сильный люфт крышки (экрана) на ноутбуке НК2-3404 (C223090855). Петли разболтались.,Ноутбук,Корпус,C223090855
Ноутбук не видит SSD,Ноутбук Сила HK2-1404 (C223014288) перестал видеть SSD диск. В BIOS диска нет.,Ноутбук,Материнская плата,C223014288
Горизонтальные полосы на экране,На матрице ноутбука HK1-1427 (C111120177) появились мерцающие горизонтальные полосы.,Ноутбук,Матрица,C111120177
Замена оперативной памяти в СХД,Необходима замена планки оперативной памяти в контроллере СХД-48 (D261033266). Система выдает ошибки памяти.,СХД,Оперативная память,D261033266
Проблема с драйвером видеокарты,После обновления драйвера видеокарты на ноутбуке НК2-1404 (C222091750) система перестала загружаться. Требуется откат.,Ноутбук,Программное обеспечение,C222091750
Сервер СР1-5811 // Не загружается // D262050025,"Сервер не проходит POST, останавливается на коде 92. Прошу помочь в диагностике.",Сервер,Сервер,D262050025
Низкая скорость по SFP,"Скорость сети через SFP-модуль на сервере СР2-5422 (D252110065) не поднимается выше 100 Мбит/с, хотя должна быть 10 Гбит/с.",Сервер,SFP модуль,D252110065
Замена Wi-Fi антенны,"Требуется замена Wi-Fi антенны на ноутбуке НК2-3404 (C223091388), старая повреждена.",Ноутбук,Wi-fi антенна,C223091388
Пропал Wi-Fi // C223102188,На ноутбуке НК2-1404 v2 (C223102188) пропал Wi-Fi. Модуль не определяется.,Ноутбук,Wi-fi модуль,C223102188
АКБ C111124588,Аккумулятор ноутбука HK1-1425 (C111124588) не заряжается.,Ноутбук,Аккумулятор,C111124588
Ремонт блока питания,Возможен ли ремонт блока питания от ноутбука HK2-1404 (C223014350)? Перебит кабель.,Ноутбук,Блок питания,C223014350
Очистка системы охлаждения,Прошу провести чистку системы охлаждения на ноутбуке НК2-1404 (C223013222). Сильно греется и шумит.,Ноутбук,Вентилятор,C223013222
Треск в динамиках,При воспроизведении любого звука на ноутбуке HK1-1427 (C111120244) слышен треск в динамиках.,Ноутбук,Динамики,C111120244
Замена диска в сервере D252111011,Здравствуйте. Требуется замена диска в сервере СР2-5422. S/N D252111011.,Сервер,Диск,D252111011
Сломан Jack 3.5мм,В аудио-разъеме ноутбука НК2-3404 (C223091499) обломился штекер от наушников.,Ноутбук,Jack,C223091499
Камера не найдена,"Приложение ""Камера"" на ноутбуке НК2-1404 v2 (C223100501) пишет, что камера не найдена.",Ноутбук,Камера,C223100501
Замена клавиатуры // C223091555,Требуется замена клавиатуры на ноутбуке СИЛА НК2-3404 (C223091555) после залития жидкостью.,Ноутбук,Клавиатура,C223091555
Консультация по установке ОС,Не получается установить Windows на новый ноутбук НК2-1404 (C222091900). Установщик не видит диск. Нужна консультация по настройкам BIOS.,Ноутбук,Консультация,C222091900
Ремонт корпуса,На корпусе ноутбука НК2-1404 (C223013333) множество царапин и трещина. Прошу оценить стоимость ремонта.,Ноутбук,Корпус,C223013333
Синий экран // C112040144,Ноутбук HK1-1425 (C112040144) регулярно падает в синий экран. Дампы памяти во вложении.,Ноутбук,Материнская плата,C112040144
Белый экран,При включении ноутбука НК2-3404 (C223091666) экран просто светится белым. Изображения нет.,Ноутбук,Матрица,C223091666
Добавить ОЗУ в ноутбук,Прошу добавить планку оперативной памяти на 8 ГБ в ноутбук HK1-1427 (C111120288).,Ноутбук,Оперативная память,C111120288
Вирус на ноутбуке,Ноутбук НК2-1404 v2 (C223102333) заражен вирусом. Требуется чистка системы.,Ноутбук,Программное обеспечение,C223102333
Проблема с СХД D261033301,СХД-48 (D261033301) перестала быть доступной. Требуется диагностика.,СХД,Сервер,D261033301
Несовместимость SFP модуля,"Добрый день. Приобрели SFP модуль для сервера СР1-5811 (D262050030), но он не определяется сервером.",Сервер,SFP модуль,D262050030
Слабый сигнал Wi-Fi // C223091777,Ноутбук НК2-3404 (C223091777). Очень слабый сигнал Wi-Fi.,Ноутбук,Wi-fi антенна,C223091777
Нестабильная работа Wi-Fi,"Wi-Fi на ноутбуке HK2-1404 (C223014488) работает нестабильно, соединение постоянно рвется.",Ноутбук,Wi-fi модуль,C223014488
Ноутбук не работает от АКБ,"Ноутбук HK1-1427 (C111120355) не работает от аккумулятора, только от сети.",Ноутбук,Аккумулятор,C111120355
Нужен новый блок питания,Прошу выставить счет на новый блок питания для ноутбука НК2-3404 (C223091888). Старый утерян.,Ноутбук,Блок питания,C223091888
Перегрев сервера СР2-6412,Сервер D253010255 выключается из-за перегрева. Требуется чистка системы охлаждения.,Сервер,Вентилятор,D253010255
Проблема со звуком,На ноутбуке НК2-1404 v2 (C223102444) пропал звук.,Ноутбук,Динамики,C223102444
Ошибка диска в СХД D261044150,В СХД-24 (D261044150) горит индикатор ошибки на одном из дисков.,СХД,Диск,D261044150
Не работает микрофон в гарнитуре,На ноутбуке НК2-1404 (C223013555) не работает микрофон при подключении любой гарнитуры в разъем jack.,Ноутбук,Jack,C223013555
Камера показывает зеленым,Изображение с веб-камеры ноутбука НК2-3404 (C223091999) полностью зеленое.,Ноутбук,Камера,C223091999
Ремонт клавиатуры C111120401,Необходим ремонт клавиатуры ноутбука HK1-1427 (C111120401). Не работают несколько клавиш.,Ноутбук,Клавиатура,C111120401
Консультация по подключению мониторов,Можно ли к ноутбуку НК2-3404 (C223092111) подключить два внешних монитора? Нужна консультация.,Ноутбук,Консультация,C223092111
Замена корпуса,Требуется полная замена корпуса на ноутбуке НК2-1404 v2 (C223102555) после падения.,Ноутбук,Корпус,C223102555
Ноутбук не загружается C223014588,Ноутбук HK2-1404 (C223014588) пищит при включении и не загружается.,Ноутбук,Материнская плата,C223014588
Мерцает экран // C223092222,Экран ноутбука НК2-3404 (C223092222) сильно мерцает.,Ноутбук,Матрица,C223092222
Сервер пищит ошибка памяти,"Сервер СР2-5422 (D252111022) при включении издает звуковой сигнал, указывающий на ошибку оперативной памяти.",Сервер,Оперативная память,D252111022
Переустановка ОС,Прошу переустановить операционную систему на ноутбуке НК2-1404 (C222092100). Текущая система работает очень медленно.,Ноутбук,Программное обеспечение,C222092100
Недоступен сервер D262050040,"Сервер СР1-5811 (D262050040) ""упал"" и не отвечает.",Сервер,Сервер,D262050040
Проблема с SFP на СХД,На СХД-48 (D261033311) перестал работать один из SFP портов.,СХД,SFP модуль,D261033311
Wi-Fi не видит сети,"Ноутбук HK1-1425 (C112040155) не видит ни одной сети Wi-Fi, хотя они есть.",Ноутбук,Wi-fi модуль,C112040155
Зарядка идет очень медленно,"Аккумулятор ноутбука НК2-3404 (C223092333) заряжается очень медленно, около 8 часов до 100%.",Ноутбук,Аккумулятор,C223092333
Неоригинальный блок питания,Использование неоригинального блока питания с ноутбуком HK2-1404 (C223014699) привело к его выходу из строя. Требуется диагностика ноутбука и новый БП.,Ноутбук,Блок питания,C223014699
Замена вентилятора D252111033,Прошу заменить вентилятор в сервере СР2-5422 (D252111033).,Сервер,Вентилятор,D252111033
Тихий звук из динамиков,Очень тихий звук из встроенных динамиков на ноутбуке НК2-1404 v2 (C223102666). Громкость на максимуме.,Ноутбук,Динамики,C223102666
Нужна замена диска в СХД D261033322,Требуется замена диска в СХД-48 (D261033322).,СХД,Диск,D261033322
Проблема с микрофоном,На ноутбуке НК2-3404 (C223092444) очень тихий микрофон. Собеседники меня почти не слышат.,Ноутбук,Jack,C223092444
Камера зависает,Во время видеозвонков камера на ноутбуке HK1-1427 (C111120455) периодически зависает.,Ноутбук,Камера,C111120455
Сломалось крепление клавиши,"На клавиатуре ноутбука НК2-1404 (C223013777) сломалось крепление клавиши ""Enter"".",Ноутбук,Клавиатура,C223013777
Консультация по апгрейду сервера,"Добрый день. Хотим провести апгрейд сервера СР2-6412 (D253010277). Нужна консультация по совместимым комплектующим (процессор, память).",Сервер,Консультация,D253010277
Сломана рамка экрана,Треснула пластиковая рамка вокруг матрицы на ноутбуке НК2-3404 (C223092555).,Ноутбук,Корпус,C223092555
Ноутбук выключается сам по себе,Ноутбук HK1-1425 (C112040166) самопроизвольно выключается во время работы. Перегрева нет.,Ноутбук,Материнская плата,C112040166
Красный оттенок на экране,Изображение на экране ноутбука НК2-1404 v2 (C223102777) имеет сильный красный оттенок.,Ноутбук,Матрица,C223102777
Увеличение ОЗУ на ноутбуке,Нужно увеличить объем оперативной памяти на ноутбуке НК2-3404 (C223092666) до 16 ГБ.,Ноутбук,Оперативная память,C223092666
Не устанавливаются обновления,Центр обновления Windows на ноутбуке HK2-1404 (C223014899) выдает ошибку при попытке установить обновления.,Ноутбук,Программное обеспечение,C223014899
Вышел из строя сервер D253010288,Сервер СР2-6412 (D253010288) не включается.,Сервер,Сервер,D253010288
Проблема с SFP-портом,Не горит линк на SFP-порту сервера СР2-5422 (D252111044). Модуль и кабель исправны.,Сервер,Материнская плата,D252111044
Нестабильный Wi-Fi,Ноутбук НК2-1404 (C222092300) постоянно теряет соединение с Wi-Fi роутером.,Ноутбук,Wi-fi модуль,C222092300
Аккумулятор не определяется,"Ноутбук НК2-3404 (C223092777) пишет ""батарея не обнаружена"".",Ноутбук,Аккумулятор,C223092777
Поврежден кабель блока питания,Поврежден кабель у блока питания ноутбука НК2-1404 v2 (C223102888).,Ноутбук,Блок питания,C223102888
Шумит вентилятор C223013888,"Сильно шумит вентилятор на ноутбуке HK2-1404, s/n C223013888.",Ноутбук,Вентилятор,C223013888
Нет звука,На ноутбуке НК2-3404 (C223092888) нет звука. Совсем.,Ноутбук,Динамики,C223092888
Замена диска в RAID D262050050,Нужна замена вышедшего из строя диска в RAID-массиве на сервере СР1-5811 (D262050050).,Сервер,Диск,D262050050
Фонит микрофон,При использовании гарнитуры на ноутбуке HK1-1425 (C112040177) микрофон сильно фонит.,Ноутбук,Jack,C112040177
Не работает камера в Zoom,"На ноутбуке НК2-1404 (C223013999) не работает камера в приложении Zoom, хотя в стандартном приложении ""Камера"" работает.",Ноутбук,Программное обеспечение,C223013999
Залипание клавиш,После чистки клавиатуры на ноутбуке НК2-3404 (C223092999) некоторые клавиши стали залипать.,Ноутбук,Клавиатура,C223092999
Вопрос по UEFI,Добрый день. Не могу отключить Secure Boot в UEFI на ноутбуке НК2-1404 v2 (C223102999). Требуется консультация.,Ноутбук,Консультация,C223102999
Ремонт петли корпуса,Сломалась правая петля на ноутбуке HK1-1427 (C111120511).,Ноутбук,Корпус,C111120511
Ноутбук не видит флешки,Ноутбук НК2-3404 (C223093111) перестал видеть любые USB-накопители. Другие USB-устройства (мышь) работают.,Ноутбук,Материнская плата,C223093111
Искажение цветов на матрице,На экране ноутбука HK2-1404 (C223015111) неправильно отображаются цвета. Все уходит в синий оттенок.,Ноутбук,Матрица,C223015111
Замена памяти на сервере D252111055,Прошу заменить неисправный модуль памяти на сервере СР2-5422 (D252111055).,Сервер,Оперативная память,D252111055
Слетает драйвер,"На ноутбуке НК2-1404 (C222092500) постоянно ""слетает"" драйвер тачпада после перезагрузки.",Ноутбук,Программное обеспечение,C222092500
Сервер перезагружается,Сервер СР2-5422 (D252111066) циклически перезагружается каждые 15-20 минут.,Сервер,Сервер,D252111066
Не работает Wi-Fi после обновления,После обновления Windows на ноутбуке НК2-3404 (C223093222) перестал работать Wi-Fi.,Ноутбук,Wi-fi модуль,C223093222
Износ аккумулятора,Система показывает сильный износ аккумулятора (более 60%) на ноутбуке НК2-1404 v2 (C223103111). Требуется замена.,Ноутбук,Аккумулятор,C223103111
Не подходит штекер блока питания,"Штекер блока питания не плотно держится в разъеме ноутбука HK1-1425 (C112040188), из-за чего зарядка постоянно прерывается.",Ноутбук,Материнская плата,C112040188
Остановка вентилятора,На ноутбуке НК2-3404 (C223093333) перестал крутиться вентилятор. Ноутбук сильно греется и выключается.,Ноутбук,Вентилятор,C223093333
Нет звука в наушниках,При подключении наушников к ноутбуку НК2-1404 (C223015222) звук продолжает идти из динамиков.,Ноутбук,Jack,C223015222
Диск не определяется в СХД,СХД-24 (D261044180) не определяет диск в 11 слоте.,СХД,Материнская плата,D261044180
Черный экран вместо изображения с камеры,Камера на ноутбуке НК2-3404 (C223093444) показывает черный экран.,Ноутбук,Камера,C223093444
Стерлись буквы на клавиатуре,На некоторых клавишах ноутбука HK2-1404 (C223015333) стерлись символы. Возможна ли замена отдельных клавиш?,Ноутбук,Клавиатура,C223015333
Консультация по подключению СХД,Нужна помощь в первоначальной настройке и подключении СХД-48 (D261033355) к нашей сети.,СХД,Консультация,D261033355
Скрипит корпус,Сильно скрипит корпус при открытии/закрытии крышки на ноутбуке НК2-1404 v2 (C223103222).,Ноутбук,Корпус,C223103222
Отключается дисплей,Во время работы произвольно отключается экран на ноутбуке НК2-3404 (C223093555). Сам ноутбук продолжает работать.,Ноутбук,Матрица,C223093555
Несовместимость ОЗУ,"Купили новую планку памяти для ноутбука HK1-1427 (C111120566), но с ней он не включается.",Ноутбук,Оперативная память,C111120566
Ошибка при загрузке,"При загрузке ноутбука НК2-1404 (C222092800) появляется ошибка ""Operating System not found"".",Ноутбук,Диск,C222092800
Полосы на экране C223015444,На экране ноутбука HK2-1404 (C223015444) появились полосы.,Ноутбук,Матрица,C223015444
Запрос на ремонт сервера D252111088,Сервер СР2-5422 (D252111088) вышел из строя. Прошу организовать ремонт.,Сервер,Сервер,D252111088
Не работает Wi-Fi C223093666,Ноутбук НК2-3404 (C223093666) не подключается к Wi-Fi.,Ноутбук,Wi-fi модуль,C223093666
АКБ разряжен в ноль и не заряжается,"Ноутбук НК2-1404 (C223015555) долго лежал без дела, теперь аккумулятор не берет заряд.",Ноутбук,Аккумулятор,C223015555
Искрит разъем питания,Искрит разъем питания на ноутбуке НК2-3404 (C223093777) при подключении блока питания.,Ноутбук,Материнская плата,C223093777
Греется и шумит ноутбук,Ноутбук HK1-1425 (C112040199) стал сильно греться и шуметь вентилятором даже в простое.,Ноутбук,Вентилятор,C112040199
Проблема со звуком C223103333,Нет звука на ноутбуке НК2-1404 v2 (C223103333). Драйверы в порядке.,Ноутбук,Динамики,C223103333
Отвалился диск в RAID на сервере,На сервере СР2-6412 (D253010311) отвалился один диск из RAID 5.,Сервер,Диск,D253010311
Не определяется гарнитура,Ноутбук НК2-1404 (C223015666) не определяет гарнитуру при подключении в аудио-разъем.,Ноутбук,Jack,C223015666
Низкое качество изображения с камеры,"Очень низкое, зернистое изображение с веб-камеры на ноутбуке НК2-3404 (C223093888).",Ноутбук,Камера,C223093888
Ремонт клавиатуры ноутбука,Прошу произвести ремонт клавиатуры на ноутбуке НК2-1404 v2 (C223103444).,Ноутбук,Клавиатура,C223103444
